Canton,Nationalité,Mois,Décembre 2000,Décembre 2000,Décembre 2000,Décembre 2001,Décembre 2001,Décembre 2001,Décembre 2002,Décembre 2002,Décembre 2002,Décembre 2003,Décembre 2003,Décembre 2003,Décembre 2004,Décembre 2004,Décembre 2004,Décembre 2005,Décembre 2005,Décembre 2005,Décembre 2006,Décembre 2006,Décembre 2006,Décembre 2007,Décembre 2007,Décembre 2007,Décembre 2008,Décembre 2008,Décembre 2008,Décembre 2009,Décembre 2009,Décembre 2009,Décembre 2010,Décembre 2010,Décembre 2010,Décembre 2011,Décembre 2011,Décembre 2011,Décembre 2012,Décembre 2012,Décembre 2012,Décembre 2013,Décembre 2013,Décembre 2013,Décembre 2014,Décembre 2014,Décembre 2014,Décembre 2015,Décembre 2015,Décembre 2015,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi
Appenzell Rhodes-Intérieures,Suisses,,0.2,13,28,0.2,16,24,0.7,47,64,1.5,99,121,1.3,84,125,1.3,87,129,0.9,56,91,0.7,47,87,0.9,57,87,1.1,72,94,0.7,53,76,0.7,50,68,1,76,111,1,74,103,0.9,68,101,0.6,50,77,0.7,55,85,0.8,1'004,1'471
St-Gall,Etrangers,,3.1,1'640,2'811,3.9,2'075,3'356,5.9,3'155,4'861,6.9,3'722,5'666,6.5,3'467,5'491,6,3'215,5'175,4.8,2'564,4'331,3.8,2'035,3'484,5.4,2'874,4'423,8.7,4'678,6'697,5.8,3'616,5'522,4.9,3'047,4'779,5.6,3'522,5'335,5.5,3'440,5'502,4.7,3'171,5'269,5.5,3'693,6'067,5.5,3'694,6'121,5.4,53'608,84'890
St-Gall,Suisses,,0.8,1'515,2'697,1.1,2'018,3'220,1.7,3'279,5'107,2.2,4'145,6'600,2.1,4'056,6'649,2.1,3'959,6'557,1.7,3'189,5'417,1.3,2'420,4'138,1.5,2'924,4'622,2.6,4'894,7'071,1.9,3'852,5'951,1.6,3'287,5'275,1.7,3'526,5'517,1.7,3'445,5'589,1.5,3'206,5'459,1.7,3'593,5'994,1.7,3'625,5'876,1.7,56'933,91'739
Grisons,Etrangers,,2.3,445,744,2.4,454,768,3.5,655,992,4.6,882,1'330,4.7,896,1'377,4.9,924,1'483,4.8,904,1'405,4.6,866,1'380,4.3,822,1'371,5.7,1'073,1'731,4.9,1'045,1'728,5.1,1'081,1'738,6,1'270,1'965,6.3,1'325,2'071,5.5,1'228,2'008,5.9,1'334,2'125,5.6,1'251,2'130,4.8,16'455,26'346
Grisons,Suisses,,0.8,659,1'381,0.8,703,1'438,1.2,1'005,1'843,1.8,1'450,2'354,1.6,1'312,2'295,1.6,1'300,2'324,1.1,937,1'889,0.9,740,1'588,1,824,1'571,1.3,1'035,1'925,1.1,937,1'866,1,877,1'640,1,844,1'626,1,874,1'629,1,887,1'656,1,906,1'769,1,843,1'635,1.1,16'133,30'429
Argovie,Etrangers,,3.2,2'031,3'358,3.6,2'256,3'910,6.1,3'897,5'469,7.2,4'534,6'411,6.7,4'218,6'169,6.1,3'860,5'794,5.3,3'392,5'168,5,3'185,4'730,5.7,3'637,5'247,8.4,5'337,7'305,5.9,4'598,6'719,5.7,4'458,6'200,6.1,4'808,6'620,6.5,5'072,6'797,5.8,5'145,6'928,6.4,5'742,7'895,6.6,5'905,8'227,5.9,72'075,102'947
Argovie,Suisses,,0.8,1'936,3'098,1,2'549,4'353,2.1,5'142,6'960,2.8,6'784,9'370,2.6,6'423,9'261,2.5,6'110,8'886,2,4'793,7'230,1.6,4'003,5'917,1.8,4'315,6'053,2.8,6'747,8'965,2.1,5'712,8'119,1.9,5'033,7'031,2,5'499,7'520,2.1,5'610,7'688,2.1,5'787,7'734,2.3,6'209,8'344,2.2,6'149,8'450,2,88'801,124'979
Thurgovie,Etrangers,,2.3,628,1'076,3.4,907,1'364,4.8,1'290,1'925,6,1'614,2'392,5.9,1'591,2'366,5.9,1'586,2'389,4.5,1'199,1'936,3.8,1'008,1'583,4.8,1'289,1'830,7.8,2'085,2'797,4.9,1'632,2'380,4,1'309,1'900,5.1,1'685,2'400,5.7,1'887,2'694,4.8,1'813,2'740,5.4,2'062,3'253,5.1,1'940,3'198,5,25'525,38'223
Thurgovie,Suisses,,0.8,802,1'301,1.2,1'165,1'721,1.9,1'851,2'567,2.5,2'431,3'551,2.4,2'356,3'566,2.4,2'360,3'623,1.9,1'833,3'013,1.5,1'428,2'364,1.7,1'655,2'503,2.8,2'761,3'706,1.8,1'982,3'097,1.5,1'636,2'483,1.7,1'875,2'748,1.8,1'951,2'846,1.6,1'754,2'782,1.8,2'057,3'214,1.6,1'814,3'067,1.8,31'711,48'152
Tessin,Etrangers,,5.8,2'537,4'206,5.7,2'501,3'639,7.3,3'188,4'434,8.1,3'537,4'892,8.4,3'689,5'019,9.2,4'009,5'234,8.4,3'660,5'045,7.5,3'291,4'584,8.1,3'527,4'768,9.3,4'061,5'489,8.6,4'065,5'547,8.1,3'843,5'380,8.8,4'186,5'867,8.8,4'145,5'948,7.4,3'750,5'618,6.6,3'319,5'113,6.2,3'149,4'934,7.8,60'457,85'717
